TI_label,TI_input,TI_input_percent,model,model_label,RMSE_U_mps,RMSE_TI,RMSE_TI_percent_points,NRMSE_U,NRMSE_TI,combined_score,U_model_rotor_mean,TI_model_rotor_mean,U_LES_rotor_mean,TI_LES_rotor_mean
6.4%,0.0642,6.419999999999999,BPA2014,BPA,0.38431951314390617,0.0018719394212873665,0.18719394212873666,0.0388659946708613,0.029458976562380165,0.03322178380577262,9.504631249999791,0.06420000000000001,9.888323106060607,0.0635439393939394
6.4%,0.0642,6.419999999999999,NPA2016,NPA,0.38431951314369905,0.0018719394212873665,0.18719394212873666,0.03886599467084035,0.029458976562380165,0.03322178380576424,9.50463124999999,0.06420000000000001,9.888323106060607,0.0635439393939394
6.4%,0.0642,6.419999999999999,Nygaard2022,"TurbOPark, A=0.04",0.38431951314368945,0.0018719394212873665,0.18719394212873666,0.03886599467083938,0.029458976562380165,0.03322178380576385,9.504631250000001,0.06420000000000001,9.888323106060607,0.0635439393939394
6.4%,0.0642,6.419999999999999,Nygaard2022_A0.06,"TurbOPark, A=0.06",0.3843195131437219,0.0018719394212873665,0.18719394212873666,0.03886599467084266,0.029458976562380165,0.03322178380576517,9.504631249999967,0.06420000000000001,9.888323106060607,0.0635439393939394
