case,y_over_D,z_over_D,U_mean_mps,U_std_mps,TI_percent,inside_rotor_mask
IEC Ieff,-0.5416666537523269,0.03333333333333333,7.531267837662361,1.1279970703710729,14.977518987310285,False
IEC Ieff,-0.513888876636823,0.03333333333333333,7.5169352348768905,1.1276652653408856,15.001662647148697,False
IEC Ieff,-0.4861110995213191,0.03333333333333333,7.492515591167144,1.1953142124924276,15.953443111971263,False
IEC Ieff,-0.45833332240581515,0.03333333333333333,7.480477438823104,1.141228728209191,15.256094781949367,False
IEC Ieff,-0.4305555452903112,0.03333333333333333,7.480609313456611,1.122074260175822,14.999770916486192,False
IEC Ieff,-0.4027777681748072,0.03333333333333333,7.481180885621129,1.048730683646382,14.01825059011804,False
IEC Ieff,-0.37499999105930326,0.03333333333333333,7.503070590827918,1.087184888056277,14.489866180724723,False
IEC Ieff,-0.3472222139437993,0.03333333333333333,7.507693441431924,1.053371370760206,14.030559172103048,False
IEC Ieff,-0.3194444368282954,0.03333333333333333,7.523076243146265,1.1172741078518997,14.851293164412205,False
IEC Ieff,-0.29166665971279143,0.03333333333333333,7.52354360829854,1.1109770319685512,14.766672326364045,False
IEC Ieff,-0.2638888825972875,0.03333333333333333,7.534706207389863,1.1167213827085762,14.821034184628488,False
IEC Ieff,-0.23611110548178355,0.03333333333333333,7.512793467816655,1.1717730814616742,15.59703572953685,False
IEC Ieff,-0.2083333283662796,0.03333333333333333,7.51835330764288,1.1846373878551846,15.756607057172026,False
IEC Ieff,-0.18055555125077566,0.03333333333333333,7.500603852558871,1.245536687781306,16.605818841590793,False
IEC Ieff,-0.15277777413527172,0.03333333333333333,7.488255321607454,1.2628328456142366,16.86417985736032,False
IEC Ieff,-0.12499999701976776,0.03333333333333333,7.491838657798819,1.1624188641466702,15.515802158080657,False
IEC Ieff,-0.09722221990426382,0.03333333333333333,7.470177911226898,1.176098554277887,15.743916252788754,False
IEC Ieff,-0.06944444278875987,0.03333333333333333,7.467270881842609,1.0327956417349424,13.830965262640799,False
IEC Ieff,-0.04166666567325592,0.03333333333333333,7.481946279530726,1.0298048596736986,13.76386332111287,False
IEC Ieff,-0.013888888557751973,0.03333333333333333,7.473671715127721,1.055744269253043,14.126179333192734,False
IEC Ieff,0.013888888557751973,0.03333333333333333,7.469504357991043,1.113754697402962,14.91069077711217,False
IEC Ieff,0.04166666567325592,0.03333333333333333,7.480853507420463,1.094478347447609,14.630394063484415,False
IEC Ieff,0.06944444278875987,0.03333333333333333,7.471247879808979,1.0718602983879175,14.34646950055848,False
IEC Ieff,0.09722221990426382,0.03333333333333333,7.468166946728815,1.1436251898293321,15.313331878986174,False
IEC Ieff,0.12499999701976776,0.03333333333333333,7.469893271092026,1.1441857608485713,15.317297306997565,False
IEC Ieff,0.15277777413527172,0.03333333333333333,7.455803576171172,1.0715589342650795,14.372145447739443,False
IEC Ieff,0.18055555125077566,0.03333333333333333,7.454255129220689,1.105316725042566,14.827996974636983,False
IEC Ieff,0.2083333283662796,0.03333333333333333,7.458949787030076,1.0237277252809969,13.724823929785613,False
IEC Ieff,0.23611110548178355,0.03333333333333333,7.454209868421857,1.0601735147534284,14.222480094699552,False
IEC Ieff,0.2638888825972875,0.03333333333333333,7.457852925783924,1.149381243107791,15.411690932306431,False
IEC Ieff,0.29166665971279143,0.03333333333333333,7.467658789148021,1.2205614394140274,16.344633222767804,False
IEC Ieff,0.3194444368282954,0.03333333333333333,7.469223295850109,1.1358387382492905,15.206919023030963,False
IEC Ieff,0.3472222139437993,0.03333333333333333,7.458248120984802,1.1990402366276642,16.07670081736756,False
IEC Ieff,0.37499999105930326,0.03333333333333333,7.451150568189776,1.169395204350207,15.694156139355888,False
IEC Ieff,0.4027777681748072,0.03333333333333333,7.466590634295605,1.1233506650120118,15.045028179959782,False
IEC Ieff,0.4305555452903112,0.03333333333333333,7.480666231590555,1.1375313727637406,15.206284273986064,False
IEC Ieff,0.45833332240581515,0.03333333333333333,7.492047978688157,1.1334704177778516,15.128979699571014,False
IEC Ieff,0.4861110995213191,0.03333333333333333,7.5073826176362966,1.1939967087622114,15.90430073401723,False
IEC Ieff,0.513888876636823,0.03333333333333333,7.517948054486714,1.2112354262546454,16.111250270368384,False
IEC Ieff,0.5416666537523269,0.03333333333333333,7.531531867233045,1.186263332858615,15.750624889733459,False
IEC Ieff,-0.5416666537523269,0.062393162647883096,8.001371325945518,1.0738224260776499,13.420479844444126,False
IEC Ieff,-0.513888876636823,0.062393162647883096,7.985982456481034,1.1823948326366165,14.80587816314375,False
IEC Ieff,-0.4861110995213191,0.062393162647883096,7.968630735819387,1.2408265668588052,15.571389966424581,False
IEC Ieff,-0.45833332240581515,0.062393162647883096,7.961733435265474,1.2312784057034007,15.464953903751807,False
IEC Ieff,-0.4305555452903112,0.062393162647883096,7.978487597963378,1.2243843900567772,15.346071232464142,False
IEC Ieff,-0.4027777681748072,0.062393162647883096,7.983426284852132,1.1122960641812438,13.932565097917049,False
IEC Ieff,-0.37499999105930326,0.062393162647883096,7.970834846036019,1.1062539657576453,13.878771635919632,False
IEC Ieff,-0.3472222139437993,0.062393162647883096,7.985678112646862,1.0500514467308708,13.149183224251324,False
IEC Ieff,-0.3194444368282954,0.062393162647883096,8.00368394666022,1.1036068006313604,13.788735387182225,False
IEC Ieff,-0.29166665971279143,0.062393162647883096,8.011032371241873,1.1128071016699603,13.89093253030324,False
IEC Ieff,-0.2638888825972875,0.062393162647883096,8.008079355566911,1.1732431088321706,14.650742790361795,False
IEC Ieff,-0.23611110548178355,0.062393162647883096,7.993982092446933,1.1107042779603518,13.894255267469191,False
IEC Ieff,-0.2083333283662796,0.062393162647883096,7.9911242646014085,1.1980727772191102,14.992543446311545,False
IEC Ieff,-0.18055555125077566,0.062393162647883096,7.979630725803921,1.2078452906483579,15.136606343731168,False
IEC Ieff,-0.15277777413527172,0.062393162647883096,7.985615143251324,1.2269779068194624,15.364851483687971,False
IEC Ieff,-0.12499999701976776,0.062393162647883096,7.975782700503635,1.1552945137990172,14.485029961085392,False
IEC Ieff,-0.09722221990426382,0.062393162647883096,7.977653529654136,1.1208763338763497,14.05020072267972,False
IEC Ieff,-0.06944444278875987,0.062393162647883096,7.965115348535778,1.1547378285808243,14.497440125497981,False
