case,y_over_D,z_over_D,U_mean_mps,U_std_mps,TI_percent,inside_rotor_mask
BPA2014,-0.5416666537523269,0.03333333333333333,6.461484457100459,0.7306622069228984,11.307961998113006,False
BPA2014,-0.513888876636823,0.03333333333333333,6.451351178560377,0.7450613011268258,11.548918676181671,False
BPA2014,-0.4861110995213191,0.03333333333333333,6.432336577958131,0.757242164577615,11.772427568116973,False
BPA2014,-0.45833332240581515,0.03333333333333333,6.423092446016986,0.7634085098198172,11.885373225372357,False
BPA2014,-0.4305555452903112,0.03333333333333333,6.4205862686552075,0.7597862854919114,11.83359671064818,False
BPA2014,-0.4027777681748072,0.03333333333333333,6.420761484727968,0.8524959561549437,13.277178387371011,False
BPA2014,-0.37499999105930326,0.03333333333333333,6.43306403372082,0.8366801215904772,13.005934920043844,False
BPA2014,-0.3472222139437993,0.03333333333333333,6.433507077016152,0.8304215911758862,12.907759037719657,False
BPA2014,-0.3194444368282954,0.03333333333333333,6.4377506964656375,0.8206699263246648,12.747774261827463,False
BPA2014,-0.29166665971279143,0.03333333333333333,6.432750489974886,0.8082039951415148,12.563894657519509,False
BPA2014,-0.2638888825972875,0.03333333333333333,6.4349978059382185,0.804308683775818,12.498973706465007,False
BPA2014,-0.23611110548178355,0.03333333333333333,6.41248191328929,0.8227887028603467,12.83104910058602,False
BPA2014,-0.2083333283662796,0.03333333333333333,6.410140670372501,0.8310339347216721,12.964363458709865,False
BPA2014,-0.18055555125077566,0.03333333333333333,6.390092857982553,0.8450392891467569,13.224209849957461,False
BPA2014,-0.15277777413527172,0.03333333333333333,6.374365547749513,0.844781959023345,13.252800654358415,False
BPA2014,-0.12499999701976776,0.03333333333333333,6.3709378948015765,0.8376571840513314,13.148098410044543,False
BPA2014,-0.09722221990426382,0.03333333333333333,6.347415427736869,0.8482287192110489,13.363371735596004,False
BPA2014,-0.06944444278875987,0.03333333333333333,6.337777090232163,0.8471851592534415,13.36722871744938,False
BPA2014,-0.04166666567325592,0.03333333333333333,6.341094414582475,0.8449075817877981,13.324317957556078,False
